class, difficulty, helpfulness
BIO152 4 2
PSYCH100 2 4
ECON103 3 2
CHEM111 3 4
CALC128 4 1
CHEM111 5 1
MICRO450 2 5
MICRO160 3 4
CHEM342 4 1
301 1 5
BIO151 4 5
OIM210 2 5
PHYS152 5 1
POLSC317 3 2
OIM301 4 4
CHEM112 3 3
PHIL310 3 5
ANIMALBEHAVIOR 3 5
BCH320 3 1
ANTHR270 4 5
PSYC315 3 1
KIN110 3 5
SOC105 1 3
MATH233 4 4
BIO280 3 4
POL171H 4 5
STATSMBA 1 5
ASTRO100 4 5
PSYCH350 4 1
MATH131 1 5
PHIL164 5 1
PSYCH391 5 3
HONORS201H 3 5
FILM391SF 2 2
GERM400 4 5
MATH233 3 5
SPMGT200 3 4
132H 4 2
SPAN322 1 5
HIST591A 5 1
MARKETING412 2 5
ENG494 3 2
320 1 5
COMM122 2 4
ECON203 5 1
CS420 2 5
POLISCI9999 3 5
H191FYP 1 4
497T 1 4
ECON102 4 2
HIS115 3 5
BIO273 4 4
ROMANEMPIRE 3 5
CHEM265 4 4
SUSTCOMM110 2 1
ANTH104 3 5
Bio311 2 5
CS348 3 5
ECE323 5 1
POLISCI255 4 5
ARTHIST110 2 5
chem112 3 5
THEA100 2 5
571BIO 5 1
PUBHEALTH160 1 5
SOC241 3 2
MGMT434 3 5
MIE354 2 5
AH213 4 1
110H 3 5
SOCBEH250 2 2
ASTRONOMY 1 4
ANSCI360 3 4
ECE124 3 4
CS320 2 5
PSYCH310 4 1
CHE110 1 5
COMM140 2 4
MIE302 1 1
PHYSICS151 4 1
POLISCI399J 2 5
POLISCI289 3 5
COMPSCI240 3 5
ECE124 5 4
COMPLIT320H 3 5
JOURN250 4 5
MUSIC100 2 1
ECON397B 4 2
310 3 1
CMPSCI383 3 4
ENG201 3 5
ASTRO100 2 4
HISTORY450 3 4
PH423 3 5
BCT150 5 1
ENGWR112 3 4
CHEM112 2 5
MGMT260 2 5
HNFNART101 3 1
GEO103 1 5
SchMgmt310 2 5
NRC260 3 5
PHIL1 4 3
PUBHLTH328 3 2
Envisci101 1 3
THERMODYNAMICS 3 5
ASTR100 5 1
HTM386 3 5
RESECON212 5 1
141H 3 3
HIST181 1 5
TH130 1 4
HIST101 2 5
IDEAS201H 3 4
MATH132 5 1
Accounting221 3 5
PSYCH315 5 2
AFROAM161 4 2
NRC496 3 5
MATH101 3 2
BIO421 5 1
COMM271 2 5
MATH551 3 5
ITAL120 2 5
ANTHRO102 1 3
CHEM111 3 5
ENGIN351 5 1
MATH233 5 1
MARKETING301 1 5
CS613 4 3
ANTHRO364 3 5
SOC 3 1
SOC301 1 2
JAPANESE135 3 3
CD530 3 5
PHYS139 2 5
PSYCH891 2 5
BIOL312 3 2
PSYCH100 3 3
MIE273 3 1
PHIL336 3 4
ECE572 3 1
MIE340 3 5
NRC225 1 5
LABOR280 2 4
FINOP422 3 5
Legal250 2 5
CS446 5 5
CS365 2 4
NATSCI387 4 2
JAP126 4 5
KIN110 3 1
ACC371 3 5
ANTHR105 2 5
HISTORY264 1 5
ECE361 2 5
COMM339 3 2
PHYS132 4 1
191GAND370 2 1
ARAB101 4 5
HST141 1 2
INTERNET 1 5
BIOCHEM275 1 5
ENGLWRIT112 1 5
MGMT201 3 1
HON391AH 2 5
CEE241 4 4
ENGLISH368 1 2
MATH132 3 5
212 3 1
MGMT660 1 2
COMDIS214 3 5
FYS191 2 5
COMPLIT121 5 1
HIST250 3 2
HIS120 1 5
ENGLWRIT111 2 5
RECON263 3 5
MIE210 2 3
SOC212 2 3
ENGIN112 2 4
SPA597 3 4
MGMT366 3 5
HON391 1 4
EDUC611 3 5
RESECON452 4 5
BIO568 5 2
ECON204 3 4
LEGAL394CI 3 5
CHE446 3 4
MGT391B 4 2
COMPLIT122 2 4
ENG115H 3 5
FRENCHST289 5 4
ECE697 3 5
HON391AH 4 1
MKT491L 2 5
CS240 3 1
DRAW201 5 5
IDND018 5 1
MIE210 2 5
ARCHDES550 3 5
PHIL1 3 1
PHIL100H 1 2
BME210 4 3
GEO103 2 5
BIO288 4 2
LEGAL250 4 4
HIST150 4 2
CHEM476 3 5
RESMSDEV 1 5
LING370 2 1
LEGAL394 3 5
OIM413 2 5
MIE413 3 1
COMM325H 2 4
DACSS601603 4 4
Italian229 2 5
PUBHLTH224 4 4
POLISCI388 4 5
AFROAM101 3 5
CLAS102H 4 3
SOC386 5 5
JUD101 2 5
POLISCI395 2 1
AFROAM236 4 5
ECE201 4 5
Eng112 2 1
CS187 2 5
PHYSICS131 1 1
PHYS181 3 5
ANTHRO205 2 5
PSYCH100 1 5
GEO311 4 5
FRENC1 3 5
MATH131 4 4
MATH331 1 5
BCT353 5 4
PHYSICS151 3 5
PSYCH391SE 2 5
FFYS191 1 5
MATH545 1 3
PORT316 2 5
SPAN120 3 3
ECE213 4 3
MUSIC150 1 4
SPAN201 5 3
COMDI210 4 1
SOC283 3 5
SCHMGMT310 2 5
ENGLWRIT112 3 1
MUS300 1 4
English205 3 3
RESECON202H 2 5
SOC341 3 5
CMN697 2 4
WGSS187 4 1
MIE273 2 5
CHINESE327 4 5
SOC328 2 5
CHE325 4 4
COMSCI-151CP 3 3
BIO523 3 5
MGMT310 3 5
SCHMGMT697BA 5 1
MGMT705 3 5
COMM494NI 3 1
POLISCI340 3 5
COMMDIS210 4 3
ENG354 2 5
CS383 4 2
AUDIT541 4 1
ANSCI372 3 5
EDUC7XX 5 1
LING150 4 4
WR1 1 5
SPAN230 3 5
206 4 4
MAT151 5 1
MATH235 3 5
Stat315 4 1
ANIMLSCI392A 2 3
HISTORY387 3 5
SOCIOL388 1 5
CS589 1 2
COMM122 2 4
CHEMENG330 2 4
STAT625 2 5
Kin430 3 5
PHIL160H 4 2
ECE202 5 1
BIO-284 1 5
ECE201 2 5
ANSCI311 4 3
ANTHRO103 2 5
MGMT689 4 1
CREATIVEART1 1 5
LEGAL390EH 3 5
LAND191 2 5
MATH331 4 4
ENG113H 2 5
KIN172 3 2
PSYCH350 2 5
PHIL170 3 3
MATH132 3 5
POLISCI181 2 4
NRC100 3 1
ECON103 2 2
BIO329L 5 5
JOURN492 3 2
ENG112 1 1
MGMT260 3 5
SOCIOL248 2 5
301 2 5
ENGWRIT112 2 5
CS325 3 4
ENG112 1 5
CICS305 2 5
331 2 5
GERMAN363 3 2
HIST101 5 3
ENGLISH-200 1 5
PHY151 4 2
MGMT200 3 5
ECON105 3 2
